,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Fibrobacteres;Chitinivibrionia,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Fibrobacteres;Fibrobacteria,60,22,45,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli,3,6,17,0,11,11,0,0,0,1,3,0,0,4,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,2,0,5,22,4,0,2
Bacteria;Firmicutes;Clostridia,7,7,32,1,34,36,0,0,4,5,26,1,2,1,38,3,0,2,0,1,8,12,15,32,3,2,0,2,3,2,7,2,1,3,2,1,12,10,16,1,5
Bacteria;Firmicutes;Erysipelotrichia,59,22,45,16,51,55,2,3,4,7,53,27,10,16,50,11,22,32,4,22,15,19,46,54,8,7,7,2,16,3,19,5,3,19,6,8,44,17,27,42,16
Bacteria;Firmicutes;Negativicutes,55,21,46,9,50,59,4,3,2,7,47,18,11,19,55,12,24,39,3,11,25,21,50,51,7,5,5,2,14,3,20,1,3,15,4,7,40,50,28,31,29
Bacteria;Firmicutes;__,44,19,42,6,32,32,0,3,3,4,36,21,4,10,37,5,0,8,2,10,15,15,18,52,6,6,2,0,15,2,14,4,3,14,3,8,16,22,19,7,8
Bacteria;Firmicutes;unclassified_Firmicutes,57,20,46,17,49,55,3,3,4,6,47,31,11,19,55,10,30,45,7,24,25,20,48,58,7,7,7,3,17,3,18,4,4,19,6,9,56,52,28,57,32
Bacteria;Fusobacteria;Fusobacteriia,56,7,43,13,51,57,2,3,3,8,20,26,7,16,56,9,3,28,5,12,20,20,39,53,6,6,7,3,12,3,17,5,4,15,3,6,31,15,26,16,25
Bacteria;Gemmatimonadetes;Gemmatimonadetes,58,19,43,16,53,57,4,1,1,8,17,32,11,22,53,12,31,54,7,26,25,21,54,59,7,7,3,3,14,3,21,4,4,6,4,5,58,51,27,57,36
