,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Armatimonadetes;Armatimonadia,20.63492063,0,2.173913043,5.882352941,33.96226415,35,0,66.66666667,0,37.5,79.24528302,12.5,36.36363636,9.090909091,22.80701754,33.33333333,6.451612903,24.07407407,0,3.846153846,48,9.523809524,33.33333333,16.66666667,12.5,14.28571429,14.28571429,66.66666667,0,0,4.761904762,60,0,63.15789474,83.33333333,66.66666667,50.92592593,51.85185185,31.03448276,11.66666667,11.11111111
Bacteria;Armatimonadetes;Chthonomonadetes,4.761904762,0,0,5.882352941,7.547169811,0,0,66.66666667,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,1.851851852,1.666666667,12.5,14.28571429,0,0,0,0,0,20,0,42.10526316,16.66666667,55.55555556,3.703703704,0,3.448275862,1.666666667,2.777777778
Bacteria;Armatimonadetes;Fimbriimonadia,7.936507937,0,0,0,20.75471698,28.33333333,0,0,0,0,1.886792453,0,0,0,22.80701754,8.333333333,0,0,0,0,4,28.57142857,7.407407407,5,12.5,14.28571429,14.28571429,66.66666667,11.76470588,0,19.04761905,0,20,0,33.33333333,0,9.259259259,9.259259259,20.68965517,0,0
Bacteria;Armatimonadetes;__,3.174603175,0,4.347826087,0,15.09433962,3.333333333,25,33.33333333,0,12.5,45.28301887,0,0,0,0,0,0,1.851851852,0,7.692307692,0,0,7.407407407,6.666666667,0,14.28571429,0,0,0,33.33333333,14.28571429,20,0,15.78947368,16.66666667,22.22222222,1.851851852,1.851851852,0,0,5.555555556
Bacteria;Armatimonadetes;unclassified_Armatimonadetes,0,0,0,0,0,0,0,0,0,0,11.32075472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;BRC1;BRC1_genera_incertae_sedis,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,15.78947368,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia,71.42857143,72.72727273,19.56521739,88.23529412,50.94339623,36.66666667,100,33.33333333,25,75,98.11320755,71.875,72.72727273,77.27272727,35.0877193,75,100,87.03703704,100,92.30769231,84,23.80952381,74.07407407,56.66666667,12.5,14.28571429,85.71428571,66.66666667,52.94117647,33.33333333,42.85714286,40,80,52.63157895,100,66.66666667,75.92592593,85.18518519,44.82758621,98.33333333,77.77777778
Bacteria;Bacteroidetes;Cytophagia,98.41269841,81.81818182,15.2173913,82.35294118,83.01886792,98.33333333,75,100,75,87.5,100,84.375,81.81818182,72.72727273,98.24561404,91.66666667,93.5483871,87.03703704,85.71428571,92.30769231,100,85.71428571,94.44444444,56.66666667,75,85.71428571,71.42857143,100,58.82352941,100,80.95238095,80,100,100,100,77.77777778,91.66666667,100,100,86.66666667,86.11111111
Bacteria;Bacteroidetes;Flavobacteriia,100,100,28.26086957,100,84.90566038,100,100,100,100,87.5,100,100,100,100,98.24561404,100,100,100,100,100,96,76.19047619,88.88888889,98.33333333,12.5,85.71428571,28.57142857,100,35.29411765,33.33333333,71.42857143,20,100,100,66.66666667,100,100,100,100,100,94.44444444
Bacteria;Bacteroidetes;Sphingobacteriia,100,95.45454545,15.2173913,100,94.33962264,100,100,100,100,100,94.33962264,100,100,100,100,100,100,100,100,100,100,90.47619048,100,90,100,100,85.71428571,100,70.58823529,33.33333333,95.23809524,80,100,100,100,100,95.37037037,100,100,100,97.22222222
