,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Gammaproteobacteria;Orbales,0,0,0,0,0.003144654,0.000694444,0,0,0,0,0.003144654,0,0,0,0,0,0,0,0,0,0,0.001984127,0,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0.023148148,0,0,0,0.001157407
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,0.00462963,0.001893939,0,0.046568627,0.011006289,0,0,0,0,0.005208333,0.000786164,0.044270833,0,0.009469697,0.002923977,0.010416667,0.00672043,0.050925926,0.047619048,0.200320513,0,0.001984127,0.020833333,0.409027778,0.072916667,0.041666667,0.196428571,0,0.634803922,0,0.013888889,0.033333333,0.15,0.173245614,0.027777778,0.018518519,0.033564815,0,0.002873563,0.047222222,0.040509259
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,25.27777778,2.617424242,38.10054348,15.82598039,21.79245283,21.54236111,0.927083333,10.86111111,3.958333333,28.07291667,0.625786164,16.84505208,5.018939394,4.143939394,21.04239766,7.819444444,15.43682796,12.15740741,28.2797619,22.91185897,5.973333333,33.51388889,6.5,4.913888889,3.53125,6.238095238,1.69047619,15.06944444,2.232843137,1.847222222,23.29960317,0.925,17.1,10.95614035,6.736111111,10.18981481,10.21219136,18.18055556,29.24425287,23.20416667,13.19212963
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales,0.373677249,0,0,0,0.024371069,0.015277778,0,0,0.145833333,0.020833333,0,0.01171875,0.011363636,0.001893939,0.00877193,0.079861111,0.009408602,0.077932099,0.023809524,0.032051282,0.01,0.011904762,0.039351852,0.031944444,0.020833333,0.101190476,0.041666667,0.027777778,0.026960784,0,0.021825397,0,0.008333333,0.010964912,0.027777778,0,0.045138889,0.003858025,0.014367816,0.010416667,0.162037037
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,0.009259259,0.011363636,0.453804348,0.022058824,0.005503145,0,0,0.055555556,0,0.005208333,0,0.040364583,37.61742424,0.009469697,0,32.50694444,0.048387097,0.019290123,0.029761905,0.016025641,33.31,0,22.08256173,0.000694444,0,0,0,0,0,0,0.005952381,0,0.116666667,0.030701754,0,0.055555556,0.12345679,0,0,0.010416667,0.006944444
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,1.050925926,0.590909091,3.928442029,2.370098039,1.413522013,1.495138889,0.71875,1.430555556,1.40625,1.104166667,0.621855346,6.684895833,1.863636364,2.676136364,1.61622807,1.795138889,1.590053763,2.460648148,9.696428571,6.709935897,2.39,1.922619048,1.68595679,2.247916667,0.760416667,0.56547619,0.601190476,3.763888889,0.362745098,0.486111111,2.432539683,0.066666667,1.908333333,3.64254386,2.347222222,2.481481481,2.383487654,0.38117284,1.798850575,7.213888889,1.201388889
Bacteria;Proteobacteria;Gammaproteobacteria;__,3.183862434,1.604166667,0.662137681,2.674019608,3.700471698,4.825,5.739583333,0.125,0.375,2.640625,1.193396226,1.9140625,20.59090909,13.53977273,4.461988304,18.16666667,6.309139785,2.450617284,3.148809524,2.568910256,18.74666667,1.337301587,13.91589506,16.75833333,1.166666667,1.321428571,1.077380952,3.152777778,0.56127451,4.527777778,1.692460317,0.541666667,2.4,0.217105263,2.527777778,0.143518519,4.013117284,5.155864198,3.719827586,3.396527778,2.675925926
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified_Gammaproteobacteria,0.074074074,0,0,0.007352941,0.136792453,0.222222222,0,0,0,0.041666667,0,0.0078125,0,0.015151515,0.114766082,0,0.017473118,0.037037037,0,0,0,0.055555556,0.106481481,0.030555556,0.052083333,0,0,0.111111111,0.004901961,0.083333333,0.075396825,0,0.116666667,0.010964912,0.090277778,0,0.056712963,0.084876543,0.110632184,0.009027778,0.085648148
Bacteria;Proteobacteria;Oligoflexia;Oligoflexales,0,0,0,0,0,0,0,0,0,0,0.030660377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684,0,0,0,0,0,0,0
Bacteria;Proteobacteria;__;__,3.300925926,46.11363636,5.451086957,4.833333333,2.294811321,3.940972222,0.770833333,0.208333333,0.166666667,2.026041667,3.071540881,4.08984375,1.003787879,0.693181818,4.02997076,0.767361111,1.240591398,2.658950617,4.505952381,6.350961538,0.68,1.426587302,2.177469136,2.510416667,0.552083333,0.452380952,0.797619048,3.069444444,0.230392157,1.472222222,1.998015873,0.55,2.316666667,0.557017544,1.270833333,0.425925926,2.280864198,4.263117284,3.261494253,4.9125,2.334490741
Bacteria;Proteobacteria;unclassified_Proteobacteria;,0,0,0,0,0,0,0,0,0,0,0.003930818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;SR1;SR1_genera_incertae_sedis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales,0.007936508,0,0,0.629901961,0.007861635,0.001388889,0,0.097222222,0,0.015625,0.472484277,0.006510417,0.03030303,0.001893939,0.000730994,0.017361111,0.021505376,0.010030864,0.077380952,0.022435897,0.011666667,0.005952381,0.016975309,0.001388889,0,0.005952381,0.005952381,0,0,0,0.005952381,0,0.308333333,0.015350877,0,0,0.022376543,0.014660494,0,0.025,0.008101852
Bacteria;Synergistetes;Synergistia;Synergistales,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0.003787879,0,0,0.014784946,0.00154321,0,0.004807692,0,0,0,0.000694444,0,0,0,0,0,0,0,0.008333333,0,0,0,0,0.018518519,0,0,0.004166667,0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023148148,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales,0.001322751,0,0,0,0,0.003472222,0,0,0,0,0,0,0,0,0.009502924,0,0,0,0,0,0,0,0,0.000694444,0,0,0,0,0,0,0.003968254,0,0,0,0,0,0.000385802,0.00154321,0.001436782,0,0
Bacteria;Tenericutes;Mollicutes;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019736842,0,0.023148148,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;unclassified_Mollicutes,0,0.024621212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0,0.002777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003858025,0,0,0.00462963
Bacteria;Thermotogae;Thermotogae;Thermotogales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001929012,0,0,0.017361111,0
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0,0,0.057065217,0,0,0,0,0.083333333,0.09375,0,0.047955975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.148809524,0.071428571,0,0.012254902,0,0,0,0,0.399122807,0.006944444,0.523148148,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales,0,0,0,0,0,0,0,0,0,0,0.551100629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0.00462963,0,0,0,0,0
