,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Planctomycetes;Phycisphaerae;unclassified_Phycisphaerae;,1.587301587,0,0,0,0,0,0,0,0,0,1.886792453,0,9.090909091,4.545454545,1.754385965,0,0,0,14.28571429,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;CandidatusBrocadiales;CandidatusBrocadiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae,95.23809524,100,17.39130435,64.70588235,90.56603774,100,100,100,100,100,39.62264151,84.375,45.45454545,77.27272727,98.24561404,66.66666667,83.87096774,92.59259259,71.42857143,96.15384615,64,76.19047619,72.22222222,90,75,85.71428571,100,100,94.11764706,100,90.47619048,80,100,100,100,100,85.18518519,88.88888889,96.55172414,75,94.44444444
Bacteria;Planctomycetes;Planctomycetia;__;__,3.174603175,0,0,0,1.886792453,6.666666667,0,0,0,0,75.47169811,0,0,0,1.754385965,0,0,1.851851852,0,0,0,0,0,1.666666667,0,14.28571429,0,0,0,0,4.761904762,0,20,0,0,0,7.407407407,1.851851852,6.896551724,1.666666667,2.777777778
Bacteria;Planctomycetes;Planctomycetia;unclassified_Planctomycetia;,23.80952381,22.72727273,0,0,9.433962264,31.66666667,0,0,25,0,52.83018868,15.625,0,0,26.31578947,0,3.225806452,3.703703704,0,3.846153846,0,14.28571429,0,6.666666667,0,0,0,66.66666667,0,0,0,0,0,31.57894737,0,11.11111111,37.03703704,12.96296296,20.68965517,3.333333333,0
Bacteria;Planctomycetes;__;__;__,34.92063492,27.27272727,2.173913043,11.76470588,35.8490566,53.33333333,75,0,0,12.5,15.09433962,0,0,0,29.8245614,0,6.451612903,24.07407407,28.57142857,7.692307692,8,14.28571429,12.96296296,28.33333333,0,14.28571429,14.28571429,66.66666667,5.882352941,33.33333333,33.33333333,0,40,10.52631579,16.66666667,11.11111111,41.66666667,12.96296296,27.5862069,8.333333333,27.77777778
Bacteria;Planctomycetes;unclassified_Planctomycetes;;__,7.936507937,0,0,0,3.773584906,30,25,0,0,0,0,0,0,0,12.28070175,0,0,11.11111111,0,7.692307692,0,0,0,10,0,0,14.28571429,66.66666667,5.882352941,0,4.761904762,0,0,0,33.33333333,0,23.14814815,0,20.68965517,6.666666667,8.333333333
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis;Geminicoccus,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78947368,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis;Rhizomicrobium,49.20634921,4.545454545,0,11.76470588,71.69811321,80,0,66.66666667,25,100,1.886792453,28.125,63.63636364,40.90909091,66.66666667,41.66666667,16.12903226,25.92592593,28.57142857,15.38461538,48,42.85714286,68.51851852,43.33333333,12.5,0,14.28571429,33.33333333,5.882352941,33.33333333,71.42857143,20,100,57.89473684,33.33333333,66.66666667,55.55555556,29.62962963,82.75862069,11.66666667,25
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,93.65079365,18.18181818,13.04347826,58.82352941,94.33962264,95,100,100,100,100,84.90566038,62.5,90.90909091,68.18181818,100,91.66666667,93.5483871,77.77777778,100,96.15384615,72,85.71428571,87.03703704,65,75,85.71428571,71.42857143,100,47.05882353,66.66666667,90.47619048,80,100,100,100,100,86.11111111,75.92592593,96.55172414,93.33333333,88.88888889
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0,0,0,12.5,14.28571429,0,0,0,0,0,0,0,5.263157895,0,22.22222222,2.777777778,3.703703704,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;__,6.349206349,0,0,0,0,1.666666667,0,0,0,0,0,3.125,0,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4.62962963,9.259259259,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;unclassified_Caulobacterales,30.15873016,0,19.56521739,0,33.96226415,45,0,0,0,37.5,0,3.125,9.090909091,4.545454545,29.8245614,41.66666667,3.225806452,5.555555556,28.57142857,15.38461538,16,9.523809524,12.96296296,8.333333333,0,0,0,0,0,0,19.04761905,0,60,0,33.33333333,0,12.96296296,12.96296296,34.48275862,20,2.777777778
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae,3.174603175,0,0,0,0,5,0,0,0,0,0,0,18.18181818,4.545454545,0,8.333333333,0,0,0,0,8,0,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,1.851851852,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae,7.936507937,9.090909091,0,0,39.62264151,38.33333333,0,0,0,0,16.98113208,3.125,0,40.90909091,47.36842105,0,9.677419355,0,0,3.846153846,0,19.04761905,1.851851852,6.666666667,0,0,0,66.66666667,0,0,14.28571429,20,60,10.52631579,0,0,20.37037037,11.11111111,31.03448276,11.66666667,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,14.28571429,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,6.349206349,0,0,0,3.773584906,3.333333333,0,33.33333333,50,0,16.98113208,0,18.18181818,9.090909091,1.754385965,0,16.12903226,0,0,15.38461538,12,0,7.407407407,0,0,0,0,0,0,0,4.761904762,0,0,68.42105263,0,66.66666667,0.925925926,0,3.448275862,0,2.777777778
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae,88.88888889,27.27272727,0,47.05882353,92.45283019,98.33333333,100,100,75,100,81.13207547,59.375,81.81818182,77.27272727,96.49122807,66.66666667,87.09677419,62.96296296,85.71428571,100,80,71.42857143,79.62962963,75,12.5,0,14.28571429,100,5.882352941,33.33333333,80.95238095,20,100,94.73684211,33.33333333,100,86.11111111,51.85185185,100,85,88.88888889
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae,11.11111111,0,6.52173913,58.82352941,13.20754717,13.33333333,0,0,0,12.5,0,25,0,68.18181818,21.05263158,0,77.41935484,27.77777778,0,19.23076923,0,9.523809524,3.703703704,1.666666667,0,0,0,0,0,0,14.28571429,0,20,0,0,0,29.62962963,3.703703704,13.79310345,28.33333333,11.11111111
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae,52.38095238,9.090909091,36.95652174,5.882352941,62.26415094,60,25,100,50,37.5,35.8490566,9.375,0,50,59.64912281,25,25.80645161,20.37037037,14.28571429,23.07692308,32,42.85714286,27.77777778,28.33333333,0,0,28.57142857,66.66666667,5.882352941,0,42.85714286,20,80,73.68421053,50,77.77777778,45.37037037,27.77777778,72.4137931,43.33333333,16.66666667
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae,66.66666667,18.18181818,0,47.05882353,73.58490566,80,0,100,100,50,32.0754717,50,45.45454545,22.72727273,84.21052632,41.66666667,67.74193548,59.25925926,100,76.92307692,72,61.9047619,55.55555556,35,0,0,0,66.66666667,0,0,90.47619048,20,100,100,16.66666667,100,66.66666667,27.77777778,68.96551724,68.33333333,50
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae,36.50793651,0,0,0,50.94339623,18.33333333,0,0,0,75,0,0,0,0,17.54385965,0,0,25.92592593,0,7.692307692,0,52.38095238,33.33333333,18.33333333,0,0,0,33.33333333,0,0,57.14285714,0,60,5.263157895,16.66666667,11.11111111,37.96296296,14.81481481,27.5862069,1.666666667,16.66666667
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae,44.44444444,9.090909091,0,17.64705882,60.37735849,71.66666667,0,66.66666667,50,37.5,56.60377358,40.625,9.090909091,59.09090909,75.43859649,33.33333333,16.12903226,37.03703704,100,84.61538462,20,38.0952381,22.22222222,30,0,0,14.28571429,66.66666667,5.882352941,0,19.04761905,20,80,57.89473684,16.66666667,55.55555556,53.7037037,44.44444444,68.96551724,56.66666667,61.11111111
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,76.19047619,13.63636364,0,47.05882353,83.01886792,85,0,66.66666667,100,37.5,0,65.625,0,95.45454545,98.24561404,0,87.09677419,74.07407407,100,100,4,66.66666667,29.62962963,33.33333333,12.5,0,14.28571429,100,5.882352941,0,71.42857143,0,100,84.21052632,83.33333333,55.55555556,80.55555556,83.33333333,93.10344828,96.66666667,80.55555556
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_incertae_sedis,84.12698413,22.72727273,0,29.41176471,88.67924528,91.66666667,0,33.33333333,50,100,0,53.125,81.81818182,77.27272727,85.96491228,83.33333333,25.80645161,57.40740741,28.57142857,50,88,85.71428571,92.59259259,66.66666667,12.5,0,14.28571429,100,5.882352941,33.33333333,100,20,100,0,33.33333333,0,69.44444444,70.37037037,79.31034483,40,80.55555556
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae,0,0,0,0,0,11.66666667,0,0,0,0,5.660377358,0,0,0,1.754385965,0,0,0,14.28571429,7.692307692,0,4.761904762,0,0,12.5,14.28571429,14.28571429,0,5.882352941,0,0,0,20,5.263157895,0,0,0.925925926,1.851851852,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Roseiarcaceae,33.33333333,0,0,5.882352941,50.94339623,35,0,33.33333333,0,100,0,9.375,9.090909091,31.81818182,36.84210526,8.333333333,9.677419355,29.62962963,14.28571429,15.38461538,28,57.14285714,44.44444444,40,12.5,0,14.28571429,33.33333333,0,33.33333333,66.66666667,0,80,52.63157895,33.33333333,100,30.55555556,25.92592593,55.17241379,6.666666667,52.77777778
