,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Chloroflexi;Chloroflexia,0.001322751,0,0,0,0.010220126,0.022916667,0,0.027777778,0.114583333,0.015625,0.049528302,0,0.015151515,0,0.016812865,0.024305556,0.010752688,0.006944444,0,0.02724359,0.018333333,0.013888889,0.008487654,0.010416667,0.010416667,0,0,0.125,0.029411765,0.027777778,0,0.216666667,0,0.094298246,0.069444444,0.00462963,0.017746914,0.049382716,0.018678161,0.005555556,0
Bacteria;Chloroflexi;Dehalococcoidia,0,0,0,0,0,0,0,0,0,0,0.002358491,0,0,0,0,0,0,0,0,0,0,0,0,0.001388889,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Chloroflexi;Ktedonobacteria,0.003306878,0,0.000905797,0,0,0,0,0.069444444,0,0,0,0,0,0,0,0,0,0.011574074,0,0,0,0.033730159,0,0.000694444,0,0,0.047619048,0,0,0,0,0.133333333,0,0.052631579,0.006944444,0.018518519,0.00154321,0,0,0,0.12962963
Bacteria;Chloroflexi;Thermomicrobia,0,0,0.000905797,0,0,0,0,0.069444444,0.15625,0,0.006289308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0
Bacteria;Chloroflexi;__,0.044973545,0,0.003623188,0.00245098,0.009433962,0.025,0.302083333,0.013888889,0.197916667,0,0.012578616,0.024739583,0.018939394,0,0.025584795,0.079861111,0.028225806,0.013117284,0.041666667,0.046474359,0.045,0.003968254,0.030092593,0.031944444,0,0,0.023809524,0,0.014705882,0,0,0.008333333,0,0.046052632,0.020833333,0.023148148,0.06095679,0.023148148,0.00862069,0.020138889,0.027777778
Bacteria;Chloroflexi;unclassified_Chloroflexi,0.031746032,0,0,0.014705882,0.019654088,0.041666667,0.072916667,0,0,0,0.004716981,0.0546875,0.003787879,0.009469697,0.046783626,0.003472222,0.079301075,0.012345679,0.023809524,0.060897436,0.005,0.013888889,0.00308642,0.022916667,0,0,0.041666667,0.041666667,0.007352941,0,0.003968254,0.066666667,0.05,0.004385965,0,0,0.137345679,0.030864198,0.066091954,0.044444444,0.006944444
Bacteria;Deferribacteres;Deferribacteres,0,0,0,0.051470588,0,0,0,0,0,0,0,0,0,0,0,0,0.009408602,0,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385802,0,0,0,0
Bacteria;Deinococcus-Thermus;Deinococci,0.044973545,0.026515152,0.033514493,0.066176471,0.020440252,0.031944444,0.010416667,0.180555556,0.03125,0,0.02672956,0.059895833,0.056818182,0.005681818,0.030701754,0.006944444,0.032258065,0.036265432,0.023809524,0.03525641,0.053333333,0.007936508,0.018518519,0.3375,0.03125,0.023809524,0.023809524,0,0.017156863,0,0.011904762,0.183333333,0.083333333,0.539473684,0.083333333,0.217592593,0.077932099,0.014660494,0.033045977,0.045833333,0.021990741
Bacteria;Elusimicrobia;Elusimicrobia,0.001322751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0.009259259,0,0,0,0,0
Bacteria;Elusimicrobia;Endomicrobia,0.008597884,0,0,0,0,0,0,0,0,0,0.022012579,0,0,0,0,0,0.002688172,0,0,0.008012821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
