,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;__,0.578703704,5.861742424,0.93115942,0.262254902,0.261792453,0.295833333,0.260416667,0.180555556,0.177083333,0.020833333,18.37264151,0.244791667,0.075757576,0.066287879,0.187134503,0.059027778,0.094086022,2.002314815,0.18452381,0.266025641,0.496666667,0.069444444,0.093364198,1.279861111,0.296875,0.339285714,0.18452381,0.486111111,0.171568627,0.083333333,0.180555556,0.15,0,0.546052632,0.041666667,0.356481481,0.169367284,0.81095679,0.567528736,0.225,1.303240741
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified_Burkholderiales,0,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001388889,0,0.005952381,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Ferritrophicales;Ferritrophicaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030701754,0,0.018518519,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae,0.016534392,0,0,0.017156863,0,0.002777778,0.041666667,0,0,0,0.000786164,0.010416667,0.003787879,0,0.005847953,0.003472222,0.008064516,0,0,0.022435897,0,0,0.028549383,0.279166667,0,0,0,0,0,0,0,0,0,0,0,0.023148148,0.004243827,0,0.002873563,0.022916667,0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae,0,0,0,0,0,0,0,0.069444444,0.010416667,0,0.029874214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131578947,0,0.050925926,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae,0.003968254,0,0.023550725,0,0.005503145,0,0,0.027777778,0,0.03125,1.301100629,0.015625,0,0,0,0,0,0.009259259,0,0,0,0.007936508,0,0,0.0625,0.041666667,0,0,0.034313725,0.027777778,0,0,0,0.131578947,0.194444444,0.050925926,0,0.00462963,0,0.002083333,0.019675926
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,27.74206349,1.085227273,0.009057971,5.759803922,19.11949686,1.509027778,1.1875,0,0,32.640625,0.384433962,6.690104167,3.174242424,0.443181818,2.278508772,4.510416667,1.634408602,2.729938272,2.869047619,3.761217949,3.153333333,23.36706349,4.930555556,2.079861111,0.208333333,0.035714286,0.238095238,12.02777778,0.06127451,0.166666667,20.46031746,0.041666667,19.68333333,0.140350877,0.520833333,0.041666667,2.189429012,4.743055556,1.844827586,2.530555556,2.710648148
Bacteria;Proteobacteria;Betaproteobacteria;Sulfuricellales;Sulfuricellaceae,0.08994709,0,0,0.009803922,0.028301887,0.094444444,0,0,0,0,0,0,0,0.035984848,0.041666667,0,0,0,0,0.083333333,0,0.023809524,0,0.038194444,0,0.017857143,0.261904762,0.152777778,0.012254902,0,0,0,0.016666667,0.004385965,0,0,0.195216049,0.040123457,0.041666667,0.007638889,0
Bacteria;Proteobacteria;Betaproteobacteria;__;__,4.537037037,0.748106061,2.879528986,2.218137255,1.664308176,1.824305556,0.166666667,0.125,0.166666667,1.916666667,2.788522013,8.627604167,0.901515152,1.702651515,2.072368421,0.670138889,1.706989247,4.62345679,2.172619048,5.092948718,0.785,1.478174603,1.133487654,1.254861111,0.046875,0.232142857,0.452380952,1.194444444,0.389705882,0.791666667,1.505952381,0.083333333,1.65,0.221491228,0.395833333,0.180555556,3.678626543,9.365740741,1.879310345,5.028472222,3.087962963
Bacteria;Proteobacteria;Betaproteobacteria;unclassified_Betaproteobacteria;,0.056216931,0.001893939,0,0,0.045597484,0.350694444,0,0.222222222,0.09375,0,0.097484277,0.002604167,0.003787879,0.009469697,0.081871345,0.013888889,0.005376344,0.00308642,0.023809524,0.025641026,0.015,0.01984127,0.018518519,0.207638889,0,0,0.136904762,0.208333333,0.06372549,0,0.007936508,0,0,0.326754386,0.006944444,0.106481481,0.130787037,0.043981481,0.170977011,0.005555556,0.008101852
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae,0.085978836,0.043560606,0.002717391,0.100490196,0.031446541,0.141666667,0,0,0,0.020833333,0.002358491,0.125,0.056818182,0,0.158625731,0.024305556,0.012096774,0.020833333,0.142857143,0.065705128,0.015,0.015873016,0.033179012,0.021527778,0.005208333,0,0.017857143,0.027777778,0,0,0,0,0.008333333,0.054824561,0.020833333,0,0.06095679,0.185185185,0.159482759,0.0375,0.009259259
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae,0.012566138,0.009469697,0.003623188,0,0.083333333,0.072916667,0,0,0.010416667,0.020833333,0.047955975,0.005208333,0.003787879,0,0.040935673,0.013888889,0.002688172,0.021604938,0,0.006410256,0.018333333,0.017857143,0.075617284,0.024305556,0.010416667,0.041666667,0.035714286,0.055555556,0.004901961,0.027777778,0.037698413,0,0.05,0.144736842,0.076388889,0.055555556,0.025462963,0.016203704,0.047413793,0.003472222,0.009259259
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Pseudobacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;unclassified_Bdellovibrionales,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_incertae_sedis;Deferrisoma,0,0,0,0,0,0.001388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
