,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp2;Gp2;,59,22,43,17,47,58,4,0,4,6,53,32,11,20,53,12,31,54,7,26,25,21,46,47,7,5,6,3,14,2,18,4,5,8,3,0,54,54,29,59,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Bryobacter;,60,22,46,17,53,60,4,3,4,8,38,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;CandidatusSolibacter;,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,7,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3;,60,22,46,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,6,3,14,2,21,4,5,9,4,3,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Paludibaculum;,60,22,46,17,53,60,4,2,4,8,29,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,4,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;__;__,60,22,41,17,53,60,4,0,3,8,28,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,4,3,13,3,21,3,5,4,6,1,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Aridibacter;,60,22,46,17,52,60,4,3,3,8,18,32,11,22,57,12,31,54,7,26,25,21,54,60,6,5,5,3,16,3,21,3,5,16,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Blastocatella;,54,22,46,16,34,52,4,2,4,8,51,31,11,22,38,12,31,54,7,22,25,13,51,60,8,7,7,0,16,3,12,3,2,16,4,8,40,49,21,59,32
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4;,60,22,44,17,53,60,4,3,2,8,43,32,11,22,57,12,31,54,7,26,25,21,54,60,6,6,4,3,14,3,21,5,5,13,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Pyrinomonas;,60,22,46,16,46,56,4,3,4,8,53,32,11,22,54,12,31,54,7,26,25,19,54,59,8,7,7,1,17,3,20,5,3,19,5,9,60,53,28,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;__;__,50,21,45,15,29,37,4,2,3,8,43,29,11,19,40,12,28,52,7,23,25,16,54,56,8,7,5,0,16,3,17,3,1,18,2,9,43,36,20,55,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;unclassified_Acidobacteria_Gp4;,36,21,46,17,36,38,4,3,4,8,53,32,11,16,39,12,25,48,6,23,25,17,54,49,8,7,5,0,16,3,16,3,1,18,5,9,36,47,21,57,34
