"","Ambystoma altamirani","Ambystoma mexicanum","Ambystoma rivulare","Andrias japonicus","Aquiloeurycea cafetalera","Batrachoseps attenuatus","Batrachuperus tibetanus","Bolitoglossa franklini","Bolitoglossa lincolni","Chiropterotriton nubilus","Cryptobranchus alleganiensis","Cynops pyrrhogaster","Desmognathus monticola","Echinotriton andersoni","Ensatina eschscholtzii","Eurycea bislineata","Ichthyosaura alpestris","Lissotriton boscai","Lissotriton helveticus","Lissotriton vulgaris","Notophthalmus viridescens","Parvimolge townsendi","Plethodon cinereus","Plethodon glutinosus","Pseudoeurycea altamontana","Aquiloeurycea cephalica","Pseudoeurycea gadovii","Pseudoeurycea granitum","Pseudoeurycea leprosa","Pseudoeurycea longicauda","Pseudoeurycea lynchi","Pseudoeurycea melanomolga","Pseudoeurycea nigromaculata","Pseudoeurycea rex","Pseudoeurycea robertsi","Pseudoeurycea sp","Salamandra salamandra","Taricha granulosa","Taricha torosa","Triturus cristatus","Triturus marmoratus"
"Ambystoma altamirani",0,0.749400676231212,0.59157047958707,0.541668894674666,0.272206642364569,0.436086054821219,0.854115550019596,0.691271929320665,0.807352547514946,0.224208448931728,0.815100831910009,0.453421543946257,0.775154665693165,0.779058021584813,0.441702358507254,0.696888398932719,0.677594592127091,0.599920278481758,0.501941301395202,0.460613962605393,0.76055638447106,0.274362089012218,0.66881474018468,0.649085124223246,0.757856450391673,0.789531347784277,0.815730582492822,0.428486519667547,0.851794984170813,0.806228069072204,0.301966623968573,0.822964287176408,0.328514025705085,0.687216148968016,0.679139498122901,0.760766346150369,0.579660714462765,0.438631466204981,0.424395576900034,0.481008556185943,0.603138144155239
"Ambystoma mexicanum",0.749400676231212,0,0.88946268289684,0.538396467793036,0.742562185503786,0.722995273402604,0.801109792345071,0.759535371412849,0.786744255701511,0.819239693576534,0.604159033150129,0.603654406955988,0.78711335637685,0.434734114659299,0.71368056614357,0.780960944385588,0.547074487172838,0.622345426158779,0.616168322256908,0.55052369396688,0.799499948043796,0.815363463664522,0.751838421237143,0.648234795602043,0.680376708675577,0.733010860088257,0.715308522807165,0.687209295435827,0.712499980986656,0.686074618131239,0.793654331602843,0.723207858989641,0.75227948378671,0.75578592689158,0.731627177412697,0.738224324923797,0.573460963192186,0.713257112523929,0.761394174099352,0.536416231781321,0.693078752322982
"Ambystoma rivulare",0.59157047958707,0.88946268289684,0,0.705336860203877,0.570628458635195,0.510040415305111,0.917631266802262,0.632736019690839,0.78704391996531,0.515098362755513,0.865909274432157,0.582966061374645,0.762362124885047,0.804335872646419,0.525031174729726,0.732761815822211,0.722702302606734,0.658154886156043,0.502771817587461,0.525674958152822,0.706790938931854,0.467299162977215,0.745420354783472,0.738782140907336,0.709142174384714,0.694770009281208,0.773664779847263,0.652108955821407,0.789344629482636,0.812204891934324,0.534036245918052,0.791719134194474,0.603354955025574,0.614101244264347,0.650087481007413,0.758769354144826,0.670850895445613,0.60026871576702,0.417700299502026,0.507197668939412,0.663114511924663
"Andrias japonicus",0.541668894674666,0.538396467793036,0.705336860203877,0,0.456508349385912,0.520210621452524,0.850722750297767,0.585928268231659,0.762590066473627,0.550778382603888,0.693956884249004,0.315008384663747,0.685071205640789,0.539345872811589,0.492003175490183,0.626351310491668,0.225441879385742,0.391369217997459,0.418156412190037,0.313625523169718,0.667184493655165,0.448829118407664,0.617175779623927,0.60108108108108,0.736533993363301,0.502440734411288,0.680860743224542,0.395979413879899,0.650415391342369,0.570796077300259,0.455747107784272,0.758923719762409,0.47766671050901,0.583825895832159,0.645414587325256,0.658675932090546,0.373150271244019,0.498550389580712,0.540283645486555,0.339459240227247,0.369842388037271
"Aquiloeurycea cafetalera",0.272206642364569,0.742562185503786,0.570628458635195,0.456508349385912,0,0.334953201494064,0.829615468859191,0.511984087729763,0.737830773751527,0.210422246445945,0.815218929446551,0.38564004271937,0.653594054826423,0.687386505422785,0.343311739367745,0.582333282251506,0.52383722849544,0.435820160864195,0.510938321978008,0.409912304719714,0.640549391550239,0.189016571678766,0.528440424105221,0.510121204017921,0.614545781032555,0.571159488229254,0.601253756819068,0.217330371494104,0.607713836376527,0.555056659260531,0.14993966835374,0.641339172420861,0.156405297145333,0.526958314824912,0.533524628165449,0.635215750386977,0.397951456353487,0.430639316713735,0.360142742625191,0.417014275022848,0.378254899332263
"Batrachoseps attenuatus",0.436086054821219,0.722995273402604,0.510040415305111,0.520210621452524,0.334953201494064,0,0.777431414404951,0.536187940789433,0.741884290525648,0.504375677788706,0.754447487930586,0.39982578512353,0.692892430006111,0.611760562395801,0.108660302400596,0.626304716383765,0.54203224621048,0.400633309514433,0.431900786395576,0.345659701579833,0.684474511703183,0.478132308063298,0.547123087526982,0.470410990463372,0.56888253189847,0.615159089543417,0.60682751433961,0.363228836768103,0.706695163992659,0.655559485594922,0.403067424611178,0.590184817184577,0.398975978705124,0.502872526030821,0.422803767681462,0.640997927802271,0.335698222178364,0.375407924910736,0.111628426473404,0.366134877411779,0.393848845955086
"Batrachuperus tibetanus",0.854115550019596,0.801109792345071,0.917631266802262,0.850722750297767,0.829615468859191,0.777431414404951,0,0.886332792691404,0.89307995009118,0.909882119643054,0.825663846753335,0.814175384549558,0.884901646075175,0.87197757101664,0.794955537170752,0.874711506758985,0.842455663140705,0.781692919068192,0.857447195726413,0.824821863779279,0.87831767801036,0.905316694234201,0.842472182537283,0.739581058274595,0.822597007354806,0.823518144715711,0.857849136032111,0.803111367190715,0.871074575669761,0.841685356079268,0.880278607248486,0.854384729339194,0.845676345892329,0.868193358798389,0.823789814648192,0.844519974792607,0.760390842292001,0.824222859008306,0.802798483065254,0.843961594565761,0.797130978275834
"Bolitoglossa franklini",0.691271929320665,0.759535371412849,0.632736019690839,0.585928268231659,0.511984087729763,0.536187940789433,0.886332792691404,0,0.47651099854278,0.590747562578915,0.7388023352794,0.556813217972396,0.639287618641357,0.658678790012738,0.551180809981186,0.589764730131622,0.551553580978814,0.453430205681246,0.678891134854173,0.585122007325748,0.609512534102023,0.564751092213504,0.584411320057736,0.558162971494385,0.45436554681242,0.46601775224047,0.492470746211395,0.501117252734329,0.456116854712055,0.540946535293167,0.551325381549234,0.562987176263515,0.500490475647314,0.181893958140686,0.478343195266272,0.294953738881688,0.450611352662807,0.621459849863512,0.557226392698777,0.565768381045648,0.465431078581828
"Bolitoglossa lincolni",0.807352547514946,0.786744255701511,0.78704391996531,0.762590066473627,0.737830773751527,0.741884290525648,0.89307995009118,0.47651099854278,0,0.785972248621935,0.757869260975831,0.723931300260631,0.770203783892847,0.78133437919539,0.733573497846025,0.761647670465907,0.759372848948375,0.692655707030206,0.785205722524121,0.734400968859915,0.731234207174625,0.779527390973324,0.697852740406919,0.666555671175858,0.618887242354843,0.710196503171902,0.708920511318609,0.728107707228022,0.73275587277389,0.72963967454475,0.766956932083791,0.718902784210797,0.718956637315169,0.47982249472499,0.648355811486589,0.494569793803303,0.700033770801066,0.785870036250078,0.750137290379268,0.752040683565356,0.720889397843306
"Chiropterotriton nubilus",0.224208448931728,0.819239693576534,0.515098362755513,0.550778382603888,0.210422246445945,0.504375677788706,0.909882119643054,0.590747562578915,0.785972248621935,0,0.879913642935493,0.510602146436188,0.689087234451161,0.763310928627849,0.504053756996171,0.635419819941027,0.606359324420998,0.570868199141306,0.508421038602165,0.502105051870409,0.681217265836542,0.14849463461845,0.617929554183292,0.672640195733937,0.683695089222656,0.623288182930964,0.660613144494942,0.404423539951845,0.663076609422076,0.630955239480784,0.205742192406298,0.725314297696214,0.281906199744002,0.618988818757292,0.659140487140654,0.710457707467555,0.5637194546038,0.543092874277144,0.43499426119921,0.498893098944717,0.507901032131987
